540;Acceso a croos docking;WREC170;grid1;btn;CroosDocking;Interno;S
557;Aceptar Diferencia Recepcion Nivel1;REC141;Aceptar;Diferencia;Nivel1;Interno;S
558;Aceptar Diferencia Recepcion Nivel2;REC141;Aceptar;Diferencia;Nivel2;Interno;S
335;Alta de pedidos en WPRE100;WPRE100;grid1;btn;AltaPedidos;Interno;S
544;Avance de pedidos;PRE660;Page;Access;AvancePedidos;Interno;S
564;Boton Prepara y Expedir WPRE090;WPRE090;grid1;btn;PrepararExpedir;Interno;S
457;Bot? de confirmar pedidos para desfacturar;WPRE510;Page;Access;BtnConfirmar;Interno;S
307;Btn Aceptar Todo;WFAC002;grid1;btn;AceptarTodo;Interno;S
314;Btn Aceptar o rechazar calculos;WFAC001;grid1;btn;AceptarRechazarCalculos;Interno;S
235;Btn Agregar Comentario Debug;GENERAL;DebugMenu;btn;Comment;Interno;S
8;Btn Agregar Usuario;WSEG030;grid1;btn;AgregarUsuario;Interno;S
5;Btn Agregar perfil;WSEG020;grid1;btn;AgregarPerfil;Interno;S
47;Btn Ajuste etiqueta;WREC170;grid1;btn;AjusteEtiqueta;Interno;S
233;Btn Alta Formulario WREC170;WREC170;grid1;btn;AltaFormlario;Interno;S
219;Btn Anular Documento;WCDO095;grid1;btn;AnularDocumento;Interno;S
312;Btn Armar Camion Entregas;WEXP040;grid1;btn;ArmarCamionEntrega;Interno;S
256;Btn Armar Cami? por Contenedores;WEXP040;grid1;btn;ArmarCamionCont;Interno;S
177;Btn Armar Egreso;WEXP040;grid1;btn;ArmarCamion;Interno;S
288;Btn Asignar Procesos;WFAC001;grid1;btn;AsignarProcesos;Interno;S
289;Btn Asignar Selecci?;WFAC010;grid1;btn;Asignar;Interno;S
290;Btn Asignar Todo;WFAC010;grid1;btn;AsignarTodo;Interno;S
464;Btn AsignarProcesos Prueba;WFACPRUEBA;grid1;btn;AsignarProcesos;Interno;S
303;Btn Calculos No Realizados Por Error;WFAC001;grid1;btn;CalculosNoRealizadosPorError;Interno;S
374;Btn Cancelar;WPRE410;grid1;btn;Cancelar;Interno;S
41;Btn Cancelar Agenda;WREC170;grid1;btn;CancelarAgenda;Interno;S
196;Btn Cancelar Inventario WINV410;WINV410;grid1;btn;CancelarInventario;Interno;S
88;Btn Capacidad de pallets;WREG605;grid1;btn;Pallets;Interno;S
443;Btn Cargar;WEXP013;grid1;btn;Cargar;Interno;S
263;Btn Cargar Cami?;WEXP010;grid1;btn;Cargar;Interno;S
259;Btn Cargar Cami?;WEXP011;grid1;btn;Cargar;Interno;S
264;Btn Cargar todo en Cami?;WEXP010;grid1;btn;CargarTodo;Interno;S
261;Btn Cargar todo en Cami?;WEXP011;grid1;btn;CargarTodo;Interno;S
444;Btn CargarTodo;WEXP013;grid1;btn;CargarTodo;Interno;S
44;Btn Cerrar Agenda;WREC170;grid1;btn;CerrarAgenda;Interno;S
152;Btn Cerrar Camion WEXP040;WEXP040;grid1;btn;CerrarCamion;Interno;S
195;Btn Cerrar Inventario WINV410;WINV410;grid1;btn;CerrarInventario;Interno;S
305;Btn Cerrar Orden;WORT030;grid1;btn;CerrarOrden;Interno;S
135;Btn Cerrar camion WEXP040;WEXP040;grid1;btn;DetallesCamion;Interno;S
309;Btn Con errores Todo;WFAC002;grid1;btn;ConErrTodo;Interno;S
339;Btn Consulta Preparaciones;WPRE220;grid1;btn;ConsultaPreparaciones;Interno;S
178;Btn Contenedores;WREC240;grid1;btn;ContenedoresCrossDocking;Interno;S
86;Btn Controles de calidad;WREG009;grid1;btn;ControlCalidad;Interno;S
78;Btn C?igos de barra;WREG009;grid1;btn;CodigoBarras;Interno;S
291;Btn Desasociar Todo;WFAC010;grid1;btn;DesasociarTodo;Interno;S
327;Btn Descargar;WCOF070;grid1;btn;Descargar;Interno;S
232;Btn Descargar Debug;GENERAL;DebugMenu;btn;Download;Interno;S
265;Btn Descargar todo el Cami?;WEXP010;grid1;btn;DescargarTodo;Interno;S
262;Btn Descargar todo el Cami?;WEXP011;grid1;btn;DescargarTodo;Interno;S
445;Btn DescargarTodo;WEXP013;grid1;btn;DescargarTodo;Interno;S
350;Btn Deseleccionar todo;WREC176;grid1;btn;DeseleccionarTodo;Interno;S
351;Btn Detalle Factura;WREC174;grid1;btn;DetalleFactura;Interno;S
352;Btn Detalle Funcionarios WORT040;WORT040;grid1;btn;Funcionarios;Interno;S
353;Btn Detalle Manipuleo Insumo WORT040;WORT040;grid1;btn;ManipuleosInsumos;Interno;S
35;Btn Detalles Agenda;WREC170;grid1;btn;DetallesAgenda;Interno;S
323;Btn Detalles Ejecucion;WFAC001;grid1;btn;DetallesEjecucion;Interno;S
201;Btn Distribuci? Pedidos;WREC170;grid1;btn;DistribucionPedidos;Interno;S
211;Btn Editar Preparacion;WPRE052;grid1;btn;EditarPreparacion;Interno;S
4;Btn Editar perfil;WSEG020;grid1;btn;EditarPerfil;Interno;S
37;Btn Etiquetas Producto;WREC171;grid1;btn;EtiquetasProducto;Interno;S
257;Btn Excluir cargas no preparadas;WEXP040;grid1;btn;ExcluirCargasNoPreparadas;Interno;S
344;Btn Factura desde referencia;WREC174;grid1;btn;FacturaDesdeReferencia;Interno;S
441;Btn Facturar;WEXP110;grid1;btn;Facturar;Interno;S
253;Btn Facturar Cami?;WEXP040;grid1;btn;FacturarCamion;Interno;S
318;Btn Funcionarios Orden;WORT030;grid1;btn;FuncionariosOrden;Interno;S
251;Btn Generar Reporte;WREC170;grid1;btn;GenerarReporte;Interno;S
329;Btn Generar Reportes;WEXP040;grid1;btn;GenerarReportes;Interno;S
52;Btn Generar etiquetas;WREC170;grid1;btn;GenerarEtiquetas;Interno;S
224;Btn Guardar Liberacion;WPRE051;grid1;btn;GuardarLibOnda;Interno;S
295;Btn Habilitar Ejecuci?;WFAC001;grid1;btn;HabilitarEjecucion;Interno;S
191;Btn HabilitarInventario WINV410;WINV410;grid1;btn;HabilitarInventario;Interno;S
42;Btn Ingresar Lineas Agenda;WREC170;grid1;btn;IngresarLineasAgenda;Interno;S
347;Btn Ingreso l?eas;WREC174;grid1;btn;IngresoLineas;Interno;S
230;Btn Iniciar Debug;GENERAL;DebugMenu;btn;Start;Interno;S
45;Btn Liberar diferencias;WREC170;grid1;btn;LiberarDiferencias;Interno;S
43;Btn Liberar recepcion;WREC170;grid1;btn;LiberarRecepcion;Interno;S
340;Btn Log Controles;WPRE220;grid1;btn;LogControlesPreparacion;Interno;S
39;Btn Log Etiqueta;WREC150;grid1;btn;LogEtiqueta;Interno;S
393;Btn Martillo Agenda;WPOR010;grid1;btn;agenda;Interno;S
392;Btn Martillo Balanza;WPOR010;grid1;btn;balanza;Interno;S
394;Btn Martillo Expedicion;WPOR010;grid1;btn;expedicion;Interno;S
365;Btn Martillo WORT030 DeshabilitarOrden Tarea;WORT030;grid1;btn;DeshabilitarOrdenTarea;Interno;S
300;Btn Menu WFAC007;WFAC001;grid1;btn;EdicionResultado;Interno;S
299;Btn Menu WFAC007;WFAC001;grid1;btn;IngresoResultadoManual;Interno;S
423;Btn Motivo de Almacenamiento;WREC170;grid1;btn;btnMotivoAlmacenamiento_z;Interno;S
46;Btn Observacioines agenda;WREC170;grid1;btn;ObservacionesAgenda;Interno;S
110;Btn Pallets;WREG009;grid1;btn;Pallets;Interno;S
231;Btn Parar Debug;GENERAL;DebugMenu;btn;Stop;Interno;S
156;Btn Pedidos Expedidos WEXP040;WEXP040;grid1;btn;PedidosExpedidos;Interno;S
140;Btn Pedidos Involucrados WEXP040;WEXP040;grid1;btn;PedidosInvolucrados;Interno;S
145;Btn Productos Pedido WEXP050;WEXP050;grid1;btn;ProductosEnPedido;Interno;S
370;Btn Puntos Entrega;WEXP040;grid1;btn;PuntosEntregaCamion;Interno;S
308;Btn Rechazar Todo;WFAC002;grid1;btn;RechazarTodo;Interno;S
342;Btn Regenerar Inventario WINV410;WINV410;grid1;btn;RegenerarInventario;Interno;S
359;Btn Reimprimir;WCOF070;grid1;btn;Reimprimir;Interno;S
330;Btn Reportes;WEXP040;grid1;btn;Reportes;Interno;S
326;Btn Reportes;WREC170;grid1;btn;Reportes;Interno;S
373;Btn Reprocesar;WPRE410;grid1;btn;BtnReprocesar;Interno;S
356;Btn Reprocesar;WCOF070;grid1;btn;Reprocesar;Interno;S
302;Btn Resultados De Ejecucion;WFAC001;grid1;btn;ResultadosDeEjecucion;Interno;S
172;Btn Saldo DM WREG009;WREG009;grid1;btn;SaldoDM;Interno;S
348;Btn Seleccionar;WREC176;grid1;btn;Seleccionar;Interno;S
349;Btn Seleccionar todo;WREC176;grid1;btn;SeleccionarTodo;Interno;S
333;Btn Sincronizar Tracking;WEXP040;grid1;btn;SincronizarTracking;Interno;S
319;Btn Tareas Orden;WORT030;grid1;btn;TareasOrden;Interno;S
222;Btn Ver Descargos;WCDO095;grid1;btn;VerDescargos;Interno;S
173;Btn Ver Documentos Pendientes WCDO21;WCDO021;grid1;btn;VerDocPend;Interno;S
146;Btn etiquetas pre-separadas;WREC240;grid1;btn;EtiquetasCrossDocking;Interno;S
321;Btn habilitar facturacion;WFAC001;grid1;btn;HabilitarFacturacion;Interno;S
509;BtnPedidosPendientesCamion;WEXP040;grid1;btn;PedidosPendientesCamion;Interno;S
535;CEXP600_Opt_FL_AUTO_CARGA;CEXP600;Opt;FL;AUTO_CARGAZ;Interno;S
